Date,AMZN,BAC,COST,DIS,DPZ,KO,MCD,MSFT,NAT,SBUX
2023-01-03,85.81999969482422,33.030487060546875,451.55047607421875,88.97000122070312,336.5589294433594,61.99864196777344,261.42486572265625,237.95632934570312,2.7566065788269043,99.30067443847656
2023-01-04,85.13999938964844,33.65147018432617,454.8179626464844,91.9800033569336,341.6380310058594,61.969093322753906,261.4842529296875,227.54734802246094,2.6826038360595703,102.8756103515625
2023-01-05,83.12000274658203,33.58247375488281,448.4722900390625,91.91999816894531,336.1224365234375,61.25997543334961,259.27874755859375,220.80335998535156,2.7011046409606934,102.8460693359375
2023-01-06,86.08000183105469,33.91761016845703,481.027587890625,93.91999816894531,339.8821716308594,62.44184494018555,266.5083923339844,223.40560913085938,2.728855609893799,105.07178497314453
2023-01-09,87.36000061035156,33.40504837036133,476.9233093261719,94.7699966430664,331.2120361328125,61.663780212402344,264.31280517578125,225.58074951171875,2.7011046409606934,103.1513671875
2023-01-10,89.87000274658203,33.63175964355469,479.5632019042969,95.55999755859375,337.0152893066406,61.191036224365234,265.9545593261719,227.29904174804688,2.821359157562256,104.39225769042969
2023-01-11,95.08999633789062,33.888038635253906,482.46209716796875,96.33000183105469,347.0544128417969,61.072845458984375,265.85565185546875,234.17214965820312,2.7381060123443604,104.68771362304688
2023-01-12,95.2699966430664,33.97675323486328,480.5892639160156,99.80999755859375,334.9221496582031,60.28493881225586,263.7589416503906,236.89356994628906,2.7936081886291504,104.24452209472656
2023-01-13,98.12000274658203,34.72587203979492,483.39849853515625,99.4000015258789,334.7435607910156,60.50161361694336,265.9347839355469,237.6086883544922,2.9046127796173096,105.60359954833984
2023-01-17,96.05000305175781,34.02603530883789,484.9126892089844,99.91000366210938,341.43963623046875,60.74783706665039,271.0973815917969,238.7211151123047,2.9786155223846436,105.1308822631836
2023-01-18,95.45999908447266,33.237483978271484,477.64056396484375,99.04000091552734,343.71136474609375,58.906097412109375,263.1160888671875,234.2118682861328,2.913862943649292,103.40741729736328
2023-01-19,93.68000030517578,32.754493713378906,467.6986083984375,99.08000183105469,346.0624084472656,58.81745529174805,260.68310546875,230.35816955566406,2.821359157562256,102.67864990234375
2023-01-20,97.25,33.36561965942383,478.2781066894531,103.4800033569336,345.2588806152344,59.17201614379883,265.628173828125,238.5919952392578,2.784357786178589,103.44682312011719
2023-01-23,97.5199966430664,33.828895568847656,490.73040771484375,105.69000244140625,342.6895751953125,59.31974792480469,266.33038330078125,240.9359893798828,2.7381060123443604,104.59906768798828
2023-01-24,96.31999969482422,34.0753173828125,490.2323303222656,106.0,336.6283874511719,59.63491439819336,266.597412109375,240.399658203125,2.7381060123443604,105.02254486083984
2023-01-25,97.18000030517578,34.37102508544922,489.00701904296875,108.12000274658203,347.838134765625,60.00917053222656,269.9996032714844,238.97935485839844,2.691854476928711,105.3573989868164
2023-01-26,99.22000122070312,34.83430099487305,496.398681640625,109.69999694824219,351.2109375,59.890987396240234,271.7007141113281,246.31927490234375,2.673353672027588,107.11038970947266
2023-01-27,102.23999786376953,34.94272994995117,501.36968994140625,109.54000091552734,352.3319091796875,59.57582092285156,269.4655456542969,246.47817993164062,2.765857219696045,107.36644744873047
2023-01-30,100.55000305175781,34.79487228393555,501.3597106933594,107.58999633789062,345.70526123046875,59.723548889160156,267.9128112792969,241.06512451171875,2.765857219696045,106.755859375
2023-01-31,103.12999725341797,34.97229766845703,509.18975830078125,108.48999786376953,350.1792297363281,60.39327621459961,264.4611511230469,246.13055419921875,2.8121087551116943,107.484619140625
2023-02-01,105.1500015258789,35.40599822998047,515.933837890625,109.38999938964844,356.9150085449219,60.40312576293945,263.34356689453125,251.03707885742188,2.8676109313964844,108.32173156738281
2023-02-02,112.91000366210938,35.612998962402344,522.3405151367188,113.20999908447266,357.58953857421875,59.36899185180664,260.31719970703125,262.8067626953125,2.839859962463379,107.49447631835938
2023-02-03,103.38999938964844,35.9087028503418,513.728515625,110.70999908447266,356.746337890625,58.9257926940918,261.32598876953125,256.59912109375,2.858360528945923,102.7180404663086
2023-02-06,102.18000030517578,35.84956359863281,514.5169067382812,109.87000274658203,353.13543701171875,59.26065444946289,264.9754638671875,255.02981567382812,3.0156166553497314,103.42711639404297
