Date,Adj Close
2023-01-03,377.9681396484375
2023-01-04,380.8861389160156
2023-01-05,376.5389099121094
2023-01-06,385.1737365722656
2023-01-09,384.95538330078125
2023-01-10,387.655029296875
2023-01-11,392.55804443359375
2023-01-12,393.98724365234375
2023-01-13,395.5157165527344
2023-01-17,394.7911682128906
2023-01-18,388.5582275390625
2023-01-19,385.7295837402344
2023-01-20,392.91534423828125
2023-01-23,397.6297912597656
2023-01-24,397.2029724121094
2023-01-25,397.35186767578125
2023-01-26,401.71893310546875
2023-01-27,402.6419372558594
2023-01-30,397.5900573730469
2023-01-31,403.43597412109375
2023-02-01,407.7236022949219
2023-02-02,413.6588134765625
2023-02-03,409.26202392578125
2023-02-06,406.7608642578125
2023-02-07,412.08074951171875
2023-02-08,407.5747375488281
2023-02-09,404.0413818359375
2023-02-10,404.9842834472656
2023-02-13,409.7384033203125
2023-02-14,409.54986572265625
2023-02-15,410.87982177734375
2023-02-16,405.22247314453125
2023-02-17,404.21014404296875
2023-02-21,396.101318359375
2023-02-22,395.555419921875
2023-02-23,397.6595458984375
2023-02-24,393.4115905761719
2023-02-27,394.7514953613281
2023-02-28,393.29248046875
2023-03-01,391.78387451171875
2023-03-02,394.83087158203125
2023-03-03,401.1630859375
2023-03-06,401.4410400390625
2023-03-07,395.2874450683594
2023-03-08,395.9325866699219
2023-03-09,388.627685546875
2023-03-10,383.02001953125
2023-03-13,382.4740905761719
2023-03-14,388.79644775390625
2023-03-15,386.3647766113281
2023-03-16,393.14361572265625
2023-03-17,388.54669189453125
2023-03-20,392.2828063964844
2023-03-21,397.4336853027344
2023-03-22,390.6588439941406
2023-03-23,391.7149353027344
2023-03-24,394.285400390625
2023-03-27,395.02264404296875
2023-03-28,394.1359558105469
2023-03-29,399.8646545410156
2023-03-30,402.2059631347656
2023-03-31,407.8749084472656
2023-04-03,409.42913818359375
2023-04-04,407.1575927734375
2023-04-05,406.091552734375
2023-04-06,407.6756591796875
2023-04-10,408.0940856933594
2023-04-11,408.20367431640625
2023-04-12,406.53985595703125
2023-04-13,411.9398193359375
2023-04-14,410.93353271484375
2023-04-17,412.4080810546875
2023-04-18,412.67706298828125
2023-04-19,412.6073303222656
2023-04-20,410.355712890625
2023-04-21,410.6745300292969
2023-04-24,411.1029357910156
2023-04-25,404.5771484375
2023-04-26,402.8634948730469
2023-04-27,410.88372802734375
2023-04-28,414.39068603515625
2023-05-01,413.9722595214844
2023-05-02,409.3195495605469
2023-05-03,406.5099792480469
2023-05-04,403.63067626953125
2023-05-05,411.1029357910156
2023-05-08,411.2124938964844
2023-05-09,409.4092102050781
2023-05-10,411.3221130371094
2023-05-11,410.6047668457031
2023-05-12,410.0667724609375
2023-05-15,411.48150634765625
2023-05-16,408.7317199707031
2023-05-17,413.69329833984375
2023-05-18,417.6784973144531
2023-05-19,417.07073974609375
2023-05-22,417.2401428222656
2023-05-23,412.5575256347656
2023-05-24,409.568603515625
2023-05-25,413.1154479980469
2023-05-26,418.4655456542969
2023-05-30,418.6249694824219
2023-05-31,416.3036193847656
2023-06-01,420.2589111328125
2023-06-02,426.3363342285156
2023-06-05,425.5193786621094
2023-06-06,426.4459228515625
2023-06-07,424.97137451171875
2023-06-08,427.5418701171875
2023-06-09,428.3089904785156
2023-06-12,432.1945495605469
2023-06-13,435.0439758300781
2023-06-14,435.5620422363281
2023-06-15,440.9620056152344
2023-06-16,439.4599914550781
2023-06-20,437.17999267578125
2023-06-21,434.94000244140625
2023-06-22,436.510009765625
2023-06-23,433.2099914550781
2023-06-26,431.44000244140625
2023-06-27,436.1700134277344
2023-06-28,436.3900146484375
2023-06-29,438.1099853515625
2023-06-30,443.2799987792969
2023-07-03,443.7900085449219
2023-07-05,443.1300048828125
2023-07-06,439.6600036621094
2023-07-07,438.54998779296875
2023-07-10,439.6600036621094
2023-07-11,442.4599914550781
2023-07-12,446.0199890136719
2023-07-13,449.55999755859375
2023-07-14,449.2799987792969
2023-07-17,450.8399963378906
2023-07-18,454.19000244140625
2023-07-19,455.20001220703125
2023-07-20,452.17999267578125
2023-07-21,452.17999267578125
2023-07-24,454.20001220703125
2023-07-25,455.44000244140625
2023-07-26,455.510009765625
2023-07-27,452.489990234375
2023-07-28,456.9200134277344
2023-07-31,457.7900085449219
2023-08-01,456.4800109863281
2023-08-02,450.1300048828125
2023-08-03,448.8399963378906
2023-08-04,446.80999755859375
2023-08-07,450.7099914550781
2023-08-08,448.75
2023-08-09,445.75
2023-08-10,445.9100036621094
2023-08-11,445.6499938964844
2023-08-14,448.1099853515625
2023-08-15,442.8900146484375
2023-08-16,439.6400146484375
2023-08-17,436.2900085449219
2023-08-18,436.5
2023-08-21,439.3399963378906
